,살인발생건수,강간발생건수,강도발생건수,절도발생건수,폭력발생건수,살인검거율,강간검거율,강도검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
서울특별시,0.6491228070175439,1.0,0.9999999999999999,0.8089539408198353,0.7142227346717309,100.0,90.69767441860465,97.24375538329026,58.3184837194233,87.0977464527497,9331828.0,50480.0,0.834459896501822,433.35765997406793
부산광역시,0.19298245614035087,0.15702479338842976,0.28042328042328035,0.3114650257895213,0.26175054259359737,100.0,114.81481481481481,98.55072463768117,70.65195720077092,85.39551285948805,3266598.0,15737.0,0.24072921966703592,469.41300951275497
대구광역시,0.10526315789473684,0.1322314049586777,0.18694885361552027,0.19314994118179352,0.16942485078676073,100.0,108.33333333333333,93.72384937238493,63.24742793113985,87.2023268496637,2363629.0,16087.0,0.15740364168749782,452.5069374865218
인천광역시,0.2631578947368421,0.4297520661157025,0.26984126984126977,0.18749434440322144,0.2287879815518177,114.99999999999999,105.0,97.5975975975976,76.80568621302393,88.71268013514445,3021010.0,11877.0,0.2758067113297707,483.115963945766
광주광역시,0.12280701754385964,0.10743801652892562,0.11992945326278659,0.10695864627635508,0.09303784590341833,108.33333333333333,95.23809523809523,96.31901840490798,73.98035625104046,89.97999076496845,1408422.0,1088.0,0.11003419590306907,463.8507939923454
대전광역시,0.017543859649122806,0.09917355371900827,0.13932980599647266,0.10609899556601211,0.11082474226804125,83.33333333333334,105.0,100.54054054054053,66.52705645836824,90.49827723297112,1439157.0,6421.0,0.09459419143973141,445.89920756521326
울산광역시,0.07017543859649122,0.0,0.06701940035273368,0.04463396977649081,0.06673901247965273,88.88888888888889,112.5,94.1747572815534,67.52767527675276,87.22199757379701,1098049.0,7895.0,0.04971356424107369,450.313319020992
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.40740740740742,45.11336982017201,84.35643564356435,390685.0,1580.0,0.0,236.8772128711438
경기도,0.9999999999999998,0.9586776859504134,0.9735449735449735,1.0,1.0,100.0,98.38709677419355,99.02740937223696,65.74984059978453,86.76191111259294,13694685.0,58614.0,0.9864445318990773,449.92625785880796
강원특별자치도,0.12280701754385964,0.01652892561983471,0.11199294532627865,0.0697900642475794,0.1042797069994574,91.66666666666666,100.0,90.25974025974025,72.96058661778186,90.78212290502793,1517766.0,21967.0,0.08507973194740197,445.66911644921674
충청북도,0.03508771929824561,0.05785123966942149,0.09876543209876543,0.09266129762012487,0.08829015192620727,100.0,100.0,100.71942446043165,72.78139534883721,86.29564098439761,1591177.0,8969.0,0.07453116812255293,459.7964607936664
충청남도,0.19298245614035087,0.17355371900826447,0.15520282186948853,0.14353904624015926,0.14097259902333154,93.75,100.0,96.55172413793103,63.65424973767051,85.68211068211068,2136574.0,25527.0,0.16125012845631895,439.6380845577122
전북특별자치도,0.08771929824561403,0.04132231404958678,0.12169312169312169,0.10820287756764092,0.10633138903960933,100.0,100.0,101.81818181818181,81.6892114813593,87.51545117428925,1738690.0,12550.0,0.09305380011911454,471.02284447383033
전라남도,0.21052631578947367,0.024793388429752067,0.12874779541446207,0.09956112568998281,0.13324064026044494,100.0,90.9090909090909,97.10982658959537,70.91549295774648,91.79070816418584,1788819.0,18685.0,0.11937385311682311,450.7251186206186
경상북도,0.14035087719298245,0.15702479338842976,0.1763668430335097,0.1817256356890779,0.16764446554530657,100.0,92.5925925925926,92.07048458149781,69.57689003436425,85.0142240983757,2531384.0,30570.0,0.16462252296986127,439.2541913068304
경상남도,0.22807017543859648,0.24793388429752067,0.20458553791887124,0.29415889964709074,0.22761801410743354,105.55555555555556,102.63157894736842,96.13899613899613,71.90169444055454,86.71193016488846,3228380.0,28781.0,0.2404733022819025,462.9397552473631
제주특별자치도,0.0,0.06611570247933884,0.07495590828924162,0.04499592797031943,0.069299376017363,100.0,100.0,96.42857142857143,65.48347613219094,87.36511673533451,670368.0,479.0,0.05107338295125258,449.2771642960969
